"Product Version";"Official Name";"Product";"Product Line";"Product Category";"Add-On Product Version";"Current Status";"Restricted available (productive use not allowed)";"Restricted available (productive use allowed)";"Unrestricted available";"Readiness Status for SAP HANA";"Readiness Date for SAP HANA";"End of mainstream maintenance";"End of extended maintenance";"End of Priority-One Support";"End of SAP S/4HANA Cloud Safekeeper Service";"URL to Product Version in SAP Support Portal. Disclaimer: Please notice that always the online information on SAP Support Portal is the recent information!"
"SAP ONLINE RETAIL BANKING 8.3";"SAP Online Retail Banking 8.3";"SAP ONLINE RETAIL BANKING";"SAP Omnichannel Banking";"Customer Relationship Management";"No";"Unrestricted available";"";"30.04.2013";"25.06.2014";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006426";
"SAP OPEN SERVER 16.0.3";"SAP Open Server 16.0.3";"SAP OPEN SERVER";"SAP Open Server";"Technology Platform";"No";"Unrestricted available";"";"08.06.2023";"08.06.2023";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008492";
"SAP OPEN SERVER 16.0.4";"SAP Open Server 16.0.4";"SAP OPEN SERVER";"SAP Open Server";"Technology Platform";"No";"Unrestricted available";"";"19.01.2024";"19.01.2024";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008493";
"SAP PATIENT MGMT LOC 6.05";"SAP Patient Management 6.05, add-on for localization";"SAP PATIENT MGMT LOC ADD-ON";"SAP Health";"Customer Relationship Management";"Yes";"Unrestricted available";"";"";"09.03.2012";"";"";"31.03.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900004724";
"SAP PATIENT MGMT LOC 6.17";"SAP Patient Management 6.17, add-on for localization";"SAP PATIENT MGMT LOC ADD-ON";"SAP Health";"Customer Relationship Management";"Yes";"Restricted available  (productive use allowed)";"";"19.06.2015";"";"";"";"31.03.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000476";
"SAP PATIENT MGMT LOC 6.18";"SAP Patient Management 6.18, add-on for localization";"SAP PATIENT MGMT LOC ADD-ON";"SAP Health";"Customer Relationship Management";"Yes";"Restricted available  (productive use allowed)";"";"27.01.2020";"";"";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900002516";
"SAP PERCIPIO Q3 2024 SKILLSOFT";"SAP Content Stream 2409 by Skillsoft";"SAP PERCIPIO BY SKILLSOFT";"SAP Content Stream by Skillsoft";"Technology Platform";"No";"Unrestricted available";"";"25.09.2024";"25.09.2024";"";"";"30.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008471";
"SAP PLANT CONNECTIVITY 15.0";"SAP Plant Connectivity 15.0";"SAP PLANT CONNECTIVITY";"SAP Digital Manufacturing";"Supply Chain Management";"No";"In customer-specific maintenance";"";"16.05.2014";"07.11.2014";"";"";"31.12.2019";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008077";
"SAP PLANT CONNECTIVITY 15.1";"SAP Plant Connectivity 15.1";"SAP PLANT CONNECTIVITY";"SAP Digital Manufacturing";"Supply Chain Management";"No";"In customer-specific maintenance";"";"26.10.2015";"25.01.2016";"";"";"31.12.2022";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000511";
"SAP PLANT CONNECTIVITY 15.2";"SAP Plant Connectivity 15.2";"SAP PLANT CONNECTIVITY";"SAP Digital Manufacturing";"Supply Chain Management";"No";"In customer-specific maintenance";"";"02.03.2018";"02.03.2018";"";"";"31.03.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900002724";
"SAP PLANT CONNECTIVITY 2.1";"SAP Plant Connectivity 2.1";"SAP PLANT CONNECTIVITY";"SAP Digital Manufacturing";"Supply Chain Management";"No";"In customer-specific maintenance";"26.10.2009";"14.12.2009";"01.10.2010";"";"";"31.12.2015";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900001477";
"SAP PLANT CONNECTIVITY 2.2";"SAP Plant Connectivity 2.2";"SAP PLANT CONNECTIVITY";"SAP Digital Manufacturing";"Supply Chain Management";"No";"In customer-specific maintenance";"10.05.2011";"15.06.2011";"31.01.2012";"";"";"31.12.2015";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900004446";
"SAP PLANT CONNECTIVITY 2.3";"SAP Plant Connectivity 2.3";"SAP PLANT CONNECTIVITY";"SAP Digital Manufacturing";"Supply Chain Management";"No";"In customer-specific maintenance";"07.08.2012";"12.11.2012";"10.05.2013";"";"";"31.12.2017";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900004831";
"SAP PLM I. TO AUTOCAD CD 6.1";"SAP PLM interface to AutoCad CD 6.1";"PLM INTEGRATION AUTOCAD";"SAP PLM interface";"Product Lifecycle Management";"No";"Unrestricted available";"";"02.09.2010";"02.09.2010";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900005171";
"SAP PLM I. TO SOLIDEDGE CD 6.1";"SAP PLM interface to Solid Edge CD 6.1";"PLM INTEG. SOLID EDGE";"SAP PLM interface";"Product Lifecycle Management";"No";"Unrestricted available";"";"02.09.2010";"02.09.2010";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900005169";
"SAP PLM I. TO SOLIDWORKS CD6.1";"SAP PLM interface to SolidWorks CD 6.1";"PLM INTEG. SOLIDWORKS";"SAP PLM interface";"Product Lifecycle Management";"No";"Unrestricted available";"";"02.09.2010";"02.09.2010";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900005168";
"SAP PLM I.TO MICROSTATIONCD6.1";"SAP PLM interface to MicroStation CD 6.1";"SAP PLM I. TO MICROSTATION CD";"SAP PLM interface";"Product Lifecycle Management";"No";"Unrestricted available";"";"02.09.2010";"02.09.2010";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900003241";
"SAP PPG BY BDF 2.0";"SAP Product and Process Governance 2.0 by BDF";"SAP PPG BY BDF";"SAP Product and Process Governance by BDF";"Product Lifecycle Management";"Yes";"Unrestricted available";"";"17.01.2024";"17.01.2024";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008385";
"SAP PPG BY BDF 2.1";"SAP Product and Process Governance 2.1 by BDF";"SAP PPG BY BDF";"SAP Product and Process Governance by BDF";"Product Lifecycle Management";"Yes";"Unrestricted available";"";"19.12.2024";"19.12.2024";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900008321";
"SAP PROCESS AUTOMATION OD 1.0";"SAP Build Process Automation 1.0";"SAP PROCESS AUTOMATION OD";"SAP Build";"Technology Platform";"Yes";"Unrestricted available";"22.11.2021";"14.02.2022";"14.02.2022";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005863";
"SAP PROCUREMENT PLANNING 1.0";"SAP Ariba Procurement Planning 1.0";"SAP ARIBA PROCUREMENT PLANNING";"SAP Ariba Procurement";"Supplier Relationship Management";"No";"Unrestricted available";"";"25.09.2020";"21.05.2022";"Ready";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900004453";
"SAP PROMO. MGMT 8.0 ON CAR1.0";"SAP Promotion Management for Retail 8.0, add-on for SAP Customer Activity Repository 1.0";"SAP PROMOTION MGMT ON CAR";"SAP Promotion Management";"Customer Relationship Management";"Yes";"In customer-specific maintenance";"";"28.06.2013";"01.08.2014";"";"";"31.12.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006754";
"SAP QUALITY CENTER BY MF 24.2";"SAP Quality Center 24.2 by Micro Focus, enterprise edition";"SAP QUALITY CENTER BY HP";"SAP Quality Center by Micro Focus";"Technology Platform";"No";"Unrestricted available";"";"15.08.2024";"15.08.2024";"";"";"31.01.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900008012";
"SAP QUALITY CENTER PREM. 17.0";"SAP Quality Center 17.0 by Micro Focus, premier edition";"SAP QUALITY CENTER PREM. BY MF";"SAP Quality Center by Micro Focus";"Technology Platform";"No";"Unrestricted available";"";"30.03.2023";"30.03.2023";"";"";"31.10.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900007723";
"SAP QULTYCNTR PREM BY MF 24.2";"SAP Quality Center 24.2 by Micro Focus, premier edition";"SAP QUALITY CENTER PREM. BY MF";"SAP Quality Center by Micro Focus";"Technology Platform";"No";"Unrestricted available";"";"15.08.2024";"15.08.2024";"";"";"31.01.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900008011";
"SAP QULTYCNTR PREM BY MF 25.1";"SAP Quality Center 25.1 by Micro Focus, premier edition";"SAP QUALITY CENTER PREM. BY MF";"SAP Quality Center by Micro Focus";"Technology Platform";"No";"Unrestricted available";"";"01.08.2025";"01.08.2025";"";"";"29.02.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900008694";
"SAP RAILCAR MGMT. 6.01";"SAP Railcar Management Component 6.01";"SAP RAILCAR MANAGEMENT";"SAP Railcar Management Component";"Supply Chain Management";"Yes";"Restricted available  (productive use allowed)";"";"17.08.2007";"";"On Request";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001613";
"SAP RAILCAR MGMT. 6.02";"SAP Railcar Management Component 6.02";"SAP RAILCAR MANAGEMENT";"SAP Railcar Management Component";"Supply Chain Management";"Yes";"Restricted available  (productive use allowed)";"";"24.04.2008";"";"On Request";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900002393";
"SAP RAILCAR MGMT. 6.03";"SAP Railcar Management Component 6.03";"SAP RAILCAR MANAGEMENT";"SAP Railcar Management Component";"Supply Chain Management";"Yes";"Restricted available  (productive use allowed)";"";"09.07.2008";"";"On Request";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900002394";
"SAP RAILCAR MGMT. 6.04";"SAP Railcar Management Component 6.04";"SAP RAILCAR MANAGEMENT";"SAP Railcar Management Component";"Supply Chain Management";"Yes";"Restricted available  (productive use allowed)";"";"22.06.2009";"";"On Request";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900004183";
"SAP RAILCAR MGMT. 6.05";"SAP Railcar Management Component 6.05";"SAP RAILCAR MANAGEMENT";"SAP Railcar Management Component";"Supply Chain Management";"Yes";"Restricted available  (productive use allowed)";"";"11.10.2010";"";"On Request";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900005159";
"SAP RAILCAR MGMT. 6.06";"SAP Railcar Management Component 6.06";"SAP RAILCAR MANAGEMENT";"SAP Railcar Management Component";"Supply Chain Management";"Yes";"Restricted available  (productive use allowed)";"";"05.04.2012";"";"On Request";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900005127";
"SAP RAILCAR MGMT. 6.16";"SAP Railcar Management Component 6.16";"SAP RAILCAR MANAGEMENT";"SAP Railcar Management Component";"Supply Chain Management";"Yes";"Restricted available  (productive use allowed)";"";"25.07.2013";"";"Ready";"02.05.2014";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900007084";
"SAP REP SERVER RTLE 16.0";"SAP Replication Server, real-time loading edition 16.0";"SYBASE REP SERVER RTLE";"SAP Replication Server";"Technology Platform";"No";"Unrestricted available";"";"03.11.2017";"03.11.2017";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900002323";
"SAP REP SERVR OPT MFST 15.7";"SAP Sybase Replication Server 15.7, option for Microsoft SQL Server";"SYBASE REP SERVER OPT MFST";"SAP Replication Server";"Technology Platform";"No";"In customer-specific maintenance";"";"13.06.2013";"13.06.2013";"";"";"31.12.2021";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006704";
"SAP REP SRVR HETERO ED 15.7";"SAP Sybase Replication Server 15.7, heterogeneous edition";"SYBASE REP SERVER HETERO ED.";"SAP Replication Server";"Technology Platform";"No";"In customer-specific maintenance";"";"13.06.2013";"13.06.2013";"";"";"31.12.2018";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006626";
"SAP RETURN PACK MGMT OD 1.0";"SAP Returnable Packaging Management 1.0";"SAP RETURN PACK MGMT OD";"SAP Returnable Packaging Management";"Supply Chain Management";"No";"Restricted available  (productive use allowed)";"";"19.02.2021";"";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005286";
"SAP S/4 DAIRY MGMT BY MSG 1811";"SAP Dairy Management by msg for SAP S/4HANA 1811";"SAP S/4 DAIRY MGMT BY MSG";"SAP Dairy Management by msg";"Product Lifecycle Management";"Yes";"Unrestricted available";"";"22.11.2018";"22.11.2018";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900003548";
"SAP S/4HANA ACMTM 1912";"SAP S/4HANA 1912, bulk transportation extension for SAP Agricultural Contract Management";"SAP S/4HANA ACMTM";"SAP S/4HANA";"Enterprise Management";"Yes";"Unrestricted available";"";"29.11.2019";"29.11.2019";"Ready";"29.11.2019";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900003944";
"SAP S/4HANA ACMTM 2107";"SAP S/4HANA 2107, bulk transportation extension for SAP Agricultural Contract Management";"SAP S/4HANA ACMTM";"SAP S/4HANA";"Enterprise Management";"Yes";"Unrestricted available";"";"09.07.2021";"09.07.2021";"Ready";"09.07.2021";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900005592";
"SAP S/4HANA MPM UTIL 2208";"market process management for utilities for SAP S/4HANA 2208";"SAP S/4HANA MPM UTIL";"market process management for utilities";"Technology Platform";"Yes";"Restricted available  (productive use allowed)";"";"26.08.2022";"";"Ready";"12.08.2022";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006321";
"SAP S4 PPG BY BDF 2.0";"SAP Product and Process Governance 2.0 by BDF for SAP S/4HANA";"SAP S4 PPG BY BDF";"SAP Product and Process Governance by BDF";"Product Lifecycle Management";"Yes";"Unrestricted available";"";"17.01.2024";"17.01.2024";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008377";
"SAP S4 UTL MTC BY PROLOGA 2.0";"SAP S/4HANA Utilities extensions for meter-to-cash processes 2.0 by PROLOGA";"SAP S4 UTL MTC BY PROLOGA";"SAP S/4HANA Utilities";"Enterprise Management";"Yes";"Unrestricted available";"";"28.08.2020";"28.08.2020";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900004783";
"SAP S4 UTL MTC BY PROLOGA 3.0";"SAP S/4HANA Utilities extensions for meter-to-cash processes 3.0 by PROLOGA";"SAP S4 UTL MTC BY PROLOGA";"SAP S/4HANA Utilities";"Enterprise Management";"Yes";"Unrestricted available";"";"10.06.2022";"10.06.2022";"";"";"31.12.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006966";
"SAP S4HANA R&R VISTEX 2023V2";"SAP S/4HANA for rights and royalty management 2023V2 by Vistex";"SAP S4HANA R&R BY VISTEX";"SAP S/4HANA";"Enterprise Management";"Yes";"Unrestricted available";"";"08.11.2024";"08.11.2024";"";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007971";
"SAP S4SCSD 1.0";"SAP S/4HANA Supply Chain for secondary distribution 1.0";"SAP S4SCSD";"SAP S/4HANA Supply Chain";"Supply Chain Management";"Yes";"Unrestricted available";"19.12.2016";"14.03.2017";"14.03.2017";"Ready";"14.03.2017";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900001085";
"SAP SAILING ANALYTICS OD 1.0";"sailing analytics 1.0, cloud edition";"SAP SAILING ANALYTICS CLOUD";"SAP Sailing Analytics";"Technology Platform";"No";"In customer-specific maintenance";"";"24.02.2016";"24.02.2016";"";"";"24.02.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000734";
"SAP SALES INSIGHTS RETAIL 3.0";"SAP Sales Insights for Retail 3.0";"SAP SALES INSIGHTS RETAIL";"SAP Sales Insights for Retail";"Customer Relationship Management";"Yes";"Restricted available  (productive use allowed)";"";"24.09.2014";"";"Ready";"24.09.2014";"31.12.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000042";
"SAP SALES INTEGR SAP RAR 1.0";"SAP Revenue Accounting and Reporting 1.0, integration with sales and distribution";"SAP SALES INTEGR SAP RAR";"SAP Revenue Accounting and Reporting";"Financial Management";"Yes";"Unrestricted available";"";"16.10.2015";"05.02.2016";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000614";
"SAP SCM 4.1";"SAP Supply Chain Management 4.1";"SAP SCM";"SAP Supply Chain Management";"Supply Chain Management";"No";"In customer-specific maintenance";"";"21.06.2004";"15.04.2005";"";"";"31.03.2010";"31.03.2013";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001108";
"SAP SEM 3.1B";"SAP Strategic Enterprise Management 3.1B";"SAP SEM";"SAP Strategic Enterprise Management";"Financial Management";"No";"In customer-specific maintenance";"";"27.05.2002";"16.08.2002";"";"";"31.12.2006";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001015";
"SAP SF DOCMGMT CORE BY OT 20.3";"SAP SuccessFactors Document Management Core 20.3 by OpenText";"EXTENDED ECM FOR SAP SFSF PCE";"SAP SuccessFactors HCM";"Human Capital Management";"No";"Unrestricted available";"";"21.10.2020";"21.10.2020";"";"";"31.10.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900004862";
"SAP SFSF DM CORE OP BY OT 20.3";"SAP SuccessFactors Document Management Core 20.3 by OpenText, hybrid edition";"SAP SFSF DM CORE OP BY OT";"SAP SuccessFactors HCM";"Human Capital Management";"No";"Unrestricted available";"";"21.10.2020";"21.10.2020";"";"";"31.10.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005291";
"SAP SFSF DM CORE OP BY OT 21.4";"SAP SuccessFactors Document Management Core by OpenText, hybrid edition 21.4";"SAP SFSF DM CORE OP BY OT";"SAP SuccessFactors HCM";"Human Capital Management";"No";"Unrestricted available";"";"09.02.2022";"09.02.2022";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006131";
"SAP SFSF DM CORE OP BY OT 22.4";"SAP SuccessFactors Document Management Core 22.4 by OpenText, hybrid edition";"SAP SFSF DM CORE OP BY OT";"SAP SuccessFactors HCM";"Human Capital Management";"No";"Unrestricted available";"";"11.05.2023";"11.05.2023";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900007324";
"SAP SFSF DM CORE OP BY OT 23.4";"SAP SuccessFactors Document Management Core 23.4 by OpenText, hybrid edition";"SAP SFSF DM CORE OP BY OT";"SAP SuccessFactors HCM";"Human Capital Management";"No";"Unrestricted available";"";"01.02.2024";"01.02.2024";"";"";"31.12.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008442";
"SAP SFSF DM CORE OP BY OT 24.4";"SAP SuccessFactors Document Management Core 24.4 by OpenText, hybrid edition";"SAP SFSF DM CORE OP BY OT";"SAP SuccessFactors HCM";"Human Capital Management";"No";"Unrestricted available";"";"24.04.2025";"24.04.2025";"";"";"31.12.2029";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900008199";
"SAP SIGN. BUS. MODEL BRID 1.0";"business process model connector for SAP Signavio solutions 1.0";"SAP SIGNAVIO BUS. MODEL BRIDGE";"business process transformation";"Technology Platform";"No";"Restricted available  (productive use allowed)";"26.09.2022";"28.03.2023";"";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006392";
"SAP SMART BUSINESS FOR CPM 1.0";"SAP Smart Business 1.0 for commercial project management";"SAP SMART BUSINESS FOR CPM";"SAP Smart Business";"Technology Platform";"Yes";"Unrestricted available";"";"22.04.2015";"19.10.2015";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900007734";
"SAP SMART BUSINESS FOR EM 1.0";"SAP Smart Business 1.0 for event management";"SAP SMART BUSINESS FOR EM";"SAP Smart Business";"Technology Platform";"Yes";"Unrestricted available";"";"29.11.2013";"03.06.2014";"Ready";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900007158";
"SAP SMART BUSINESS FOR EMX 1.0";"SAP Smart Business 1.0 for SAP Event Management and SAP Transportation Management cross-analytics";"SAP SMART BUSINESS FOR EMX";"SAP Smart Business";"Technology Platform";"Yes";"Unrestricted available";"";"22.10.2014";"22.10.2014";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000015";
"SAP SMART BUSINESS FOR GTS 1.0";"SAP Smart Business 1.0 for SAP Global Trade Services";"SAP SMART BUSINESS FOR GTS";"SAP Smart Business";"Technology Platform";"Yes";"Unrestricted available";"";"22.10.2014";"22.10.2014";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008888";
"SAP SMART BUSINESS FOR TM 1.0";"SAP Smart Business 1.0 for transportation management";"SAP SMART BUSINESS FOR TM";"SAP Smart Business";"Technology Platform";"Yes";"Unrestricted available";"";"29.11.2013";"03.06.2014";"Ready";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900007159";
"SAP SOAR 1.0";"SAP Allocation and Rescheduling Optimization 1.0";"SAP SOAR";"SAP Allocation and Rescheduling Optimization";"Product Lifecycle Management";"Yes";"In customer-specific maintenance";"";"19.10.2012";"";"Ready";"";"31.12.2023";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900006538";
"SAP SOL SALES CONFIG OD 2005";"SAP Commerce Cloud, solution sales configuration 2005";"SAP SOL SALES CONFIG OD";"SAP Commerce Cloud";"Customer Relationship Management";"Yes";"Unrestricted available";"";"24.06.2020";"24.06.2020";"";"";"30.06.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005117";
"SAP SRCCONNECT BY MAGNITUDE2.0";"SAP Central Finance Transaction Replication 2.0 by Magnitude for SAP S/4HANA";"SAP SRC BY INSIGHTSOFTWARE";"SAP Central Finance Transaction Replication by insightsoftware for SAP S/4HANA";"Financial Management";"Yes";"Unrestricted available";"";"01.10.2020";"01.10.2020";"";"";"31.12.2040";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900005032";
"SAP SRCCONNECT BY MAGNITUDE3.0";"SAP Central Finance Transaction Replication 3.0 by Magnitude for SAP S/4HANA";"SAP SRC BY INSIGHTSOFTWARE";"SAP Central Finance Transaction Replication by insightsoftware for SAP S/4HANA";"Financial Management";"Yes";"Unrestricted available";"";"14.03.2022";"14.03.2022";"";"";"31.12.2040";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006044";
"SAP SRCCONNECT BY MAGNITUDE4.0";"SAP Central Finance Transaction Replication 4.0 by Magnitude for SAP S/4HANA";"SAP SRC BY INSIGHTSOFTWARE";"SAP Central Finance Transaction Replication by insightsoftware for SAP S/4HANA";"Financial Management";"Yes";"Unrestricted available";"";"12.10.2022";"12.10.2022";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006471";
"SAP SRM 2.0 (WITH SAP EBP 3.5)";"SAP Supplier Relationship Management 2.0";"SAP SRM";"SAP Supplier Relationship Management";"Supplier Relationship Management";"No";"In customer-specific maintenance";"";"27.05.2002";"22.11.2002";"";"";"26.06.2006";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001057";
"SAP SRM 3.0 (WITH SAP EBP 4.0)";"SAP Supplier Relationship Management 3.0";"SAP SRM";"SAP Supplier Relationship Management";"Supplier Relationship Management";"No";"In customer-specific maintenance";"";"26.06.2003";"05.12.2003";"";"";"26.12.2006";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001058";
"SAP SRM 5.0";"SAP Supplier Relationship Management 2005";"SAP SRM";"SAP Supplier Relationship Management";"Supplier Relationship Management";"No";"In customer-specific maintenance";"";"24.10.2005";"02.06.2006";"";"";"31.03.2012";"31.03.2015";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001230";
"SAP SRM 6.0";"SAP Supplier Relationship Management 2007";"SAP SRM";"SAP Supplier Relationship Management";"Supplier Relationship Management";"No";"In customer-specific maintenance";"15.12.2006";"10.12.2007";"";"";"";"31.03.2013";"31.03.2016";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001285";
"SAP SRM EBE CVC LOC 702";"SAP SRM 7.02, add-on for bid security and expert bid evaluation";"SAP SRM EBE CVC LOC";"SAP Supplier Relationship Management";"Supplier Relationship Management";"Yes";"Unrestricted available";"06.09.2012";"22.10.2012";"12.07.2013";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900004876";
"SAP STORE DEV. CONT. BY GK 6.0";"SAP Store Device Control 6.0 by GK";"SAP STORE DEVICE CONT. BY GK";"SAP Store Management by GK";"Customer Relationship Management";"No";"Unrestricted available";"";"15.07.2016";"15.07.2016";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900001094";
"SAP STORE DEV. CONT. BY GK 7.3";"SAP Store Device Control 7.3 by GK";"SAP STORE DEVICE CONT. BY GK";"SAP Store Management by GK";"Customer Relationship Management";"No";"Unrestricted available";"";"31.07.2020";"31.07.2020";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005133";
"SAP SUS DATA EXCHANGE 1.0";"SAP Sustainability Data Exchange 1.0";"SAP SUS DATA EXCHANGE";"SAP Sustainability Data Exchange";"Supplier Relationship Management";"No";"Restricted available  (productive use allowed)";"";"28.04.2023";"";"";"";"30.09.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006841";
